ts,o,h,l,c,v
2026-07-28T22:00:00Z,4024.981,4034.0,3991.02,4009.634,0.011628
2026-07-28T23:00:00Z,4010.884,4015.8035,3991.5,4015.625,0.035544
2026-07-29T00:00:00Z,4013.8845,4030.0321475,4012.59,4026.1281475,0.00131
2026-07-29T01:00:00Z,4024.7981475,4031.39,4014.596295,4027.6736475,0.011595
2026-07-29T02:00:00Z,4028.1471475,4044.835,4027.1481475,4030.4431475,0.003957
2026-07-29T03:00:00Z,4014.596295,4030.4431475,3991.732,4014.235,0.017906
2026-07-29T04:00:00Z,4037.17,4039.4,3988.3,4018.2615,0.037468
2026-07-29T05:00:00Z,4020.696,4047.59,3996.6,4024.3305,0.027395
2026-07-29T06:00:00Z,4026.9315,4057.943,4003.5,4031.857,0.014338
2026-07-29T07:00:00Z,4034.05,4037.42,4010.372,4033.92,0.053315
2026-07-29T08:00:00Z,4031.59,4054.23,4005.53,4028.42,0.010189
2026-07-29T09:00:00Z,4053.24,4053.24,4024.159,4024.159,0.026122
2026-07-29T10:00:00Z,4021.978,4046.0,3995.9,4018.8245,0.050741
2026-07-29T11:00:00Z,4042.5,4049.058,3996.32,4025.05,0.021052
2026-07-29T12:00:00Z,4048.5,4048.5,3983.8,4014.24,0.016186
2026-07-29T13:00:00Z,4015.073,4038.946,3985.36,4004.08,0.00885
2026-07-29T14:00:00Z,4005.88,4023.4,3971.94,3999.1845,0.195830078
2026-07-29T15:00:00Z,4001.2375,4029.762,3980.47,4003.4935,0.018165
2026-07-29T16:00:00Z,4006.124,4044.761,3987.89,4021.831,0.090776
2026-07-29T17:00:00Z,4023.1105,4040.5485,4005.47,4035.508,0.00672
2026-07-29T18:00:00Z,4038.61,4097.0,4026.3,4094.9,0.123555
2026-07-29T19:00:00Z,4096.2065,4120.25,4033.19,4036.95,0.029543
2026-07-29T20:00:00Z,4039.8105,4065.304,4017.83,4057.7605,0.010570796
2026-07-29T21:00:00Z,4082.001,4083.7,4030.537,4054.415,0.029361
2026-07-29T22:00:00Z,4057.4,4091.09,4044.43,4077.9,0.01364345
2026-07-29T23:00:00Z,4080.9835,4109.068,4053.677,4058.0055,0.067334042
2026-07-30T00:00:00Z,4052.011,4099.2,4033.9,4064.273,0.128017
2026-07-30T01:00:00Z,4066.2545,4105.952,4047.32,4076.9995,0.023234242
